0.02,"{20756, 46538, 63690, 10996, 70580, 94286, 24630, 18500, 56212, 33686, 53116, 38804, 63168, 36608, 88446, 74142, 7988, 111226, 85934, 39144, 39674, 11324, 37638, 37862, 76856, 94148, 30118, 131410, 102022, 13706, 90668, 89472, 18728, 29862, 14782, 20472, 41816, 49684, 86776, 20816, 4832, 24084, 72898, 43176, 55078, 64328, 53636, 57062, 17436, 9938, 76104, 21682, 29530, 84740, 20052, 18234, 61806, 28796, 36462, 19496, 167118, 61268, 27672, 95872, 11078, 20536, 82222, 138194, 31166, 36774, 77412, 16162, 26498, 22566, 22466, 56600, 58272, 30368, 13656, 71160, 129794, 100184, 28390, 31014, 37174, 32032, 87258, 132474, 23032, 244, 28820, 45138, 14162, 167568, 75406, 19180, 26662, 21408, 23978, 51500, 10156, 118276, 65280, 39680, 31826, 47048, 11370, 83780, 44280, 35468, 38324, 22036, 35714, 72574, 35088, 16336, 79436, 116298, 24324, 18966, 81302, 30798, 31706, 14130, 27816, 69440, 22884, 21262, 33986, 13800, 70386, 21452, 67766, 128144, 28954, 15504, 47400, 13218, 83774, 1580, 179236, 20412, 10420, 68150, 49610, 111262, 44122, 78416, 108710, 8610, 40164, 14450, 87934, 19514, 133672, 23498, 84108, 27066, 26432, 10662, 54798, 35686, 28032, 89898, 76042, 21874, 20428, 42452, 18250, 17298, 34026, 37774, 40022, 163866, 199114, 63296, 72582, 35966, 95676, 83856, 62850, 45948, 88156, 42670, 46410, 27202, 44596, 88960, 68958, 130552, 19730, 50750, 43798, 81486, 19898, 93644, 38966, 14308, 42764, 23222, 31226, 22362, 120898, 36072, 49586, 64696, 31364, 48418, 29454, 98148, 17658, 10636, 49458, 11066, 27866, 20894, 32732, 22658, 93440, 23234, 40810, 109276, 143580, 14964, 60794, 40054, 48808, 20426, 11964, 29558, 13196, 13336, 35996, 17532, 79622, 19160, 40802, 41608, 105504, 45416, 41220, 25120, 80842, 14174, 114452, 50774, 96480, 31730, 6792, 50322, 150702, 104714, 22728, 59956, 25928, 16850, 33802, 43122, 21048, 108866, 18460, 62972, 20532, 9868, 72092, 21736, 38846, 91194, 58220, 45902, 20642, 21138, 40762, 23662, 28230, 5684, 6664, 14336, 119472, 25014, 28680, 50496, 73302, 10624, 38182, 20682, 109486, 48066, 20226, 98678, 40556, 42090, 44954, 35408, 61674, 35730, 77370, 25696, 65028, 22212}"
0.03,"{45416, 18408, 12782, 44090, 21302, 13970, 35180, 13720, 12364, 11788, 15804, 402, 6438, 16642, 15362, 21368, 14716, 7110, 15138, 39664, 33810, 56488, 25612, 11592, 8476, 24258, 11326, 32058, 8244, 21886, 13570, 6534, 6616, 17046, 23200, 21264, 16156, 56230, 19402, 13878, 18830, 19284, 67366, 6928, 7292, 15974, 9856, 36028, 24450, 39012, 19538, 16450, 18124, 27778, 11274, 19260, 25038, 7024, 25728, 12192, 10106, 17792, 3018, 16670, 24898, 6420, 15924, 36026, 40946, 3874, 13402, 31482, 7986, 10298, 6124, 24906, 20654, 3504, 6708, 19626, 3822, 33874, 51804, 33452, 7508, 6696, 23946, 2012, 35370, 33042, 10424, 40068, 39382, 10270, 10858, 30688, 98708, 21138, 26610, 20050, 45070, 24908, 14688, 63832, 31232, 30296, 11820, 14868, 15650, 28730, 34618, 17388, 30602, 20714, 33462, 10266, 2056, 10062, 44022, 14636, 48190, 37434, 57198, 13784, 6322, 34968, 53318, 23618, 55600, 20134, 11482, 6758, 18668, 23546, 34418, 17422, 29896, 33964, 15684, 7550, 23578, 14998, 44170, 29888, 23290, 7058, 10836, 37850, 16854, 10500, 10810, 18302, 5818, 20736, 19646, 21918, 3334, 22682, 13694, 48808, 16174, 14230, 86172, 9938, 10940, 7782, 10726, 14012, 12462, 7886, 17490, 9986, 12284, 7728, 34168, 31414, 25778, 28702, 35610, 6774, 11620, 19768, 19892, 26632, 7626, 8230, 25282, 22386, 20110, 21800, 7112, 7392, 6778, 33290, 13496, 45524, 17648, 10818, 15600, 32906, 29144, 49014, 11006, 11172, 21698, 44014, 14642, 16822, 11784, 43278, 16936, 18114, 43414, 15582, 19806, 5712, 27312, 40290, 21650, 69510, 15060, 10768, 29078, 17060, 23610, 33648, 8846, 16800, 14200, 11044, 20176, 22092, 28950, 34590, 22682, 57702, 25212, 10980, 18854, 6008, 16676, 9140, 28924, 25426, 23068, 45676, 10362, 7398, 13136, 14846, 3606, 7942, 31664, 15642, 10670, 46336, 8814, 14250, 11580, 6994, 13540, 11676, 25614, 31320, 15952, 17262, 25366, 17540, 23528, 28898, 10678, 34064, 44514, 25042, 21084, 17496, 41152, 16954, 17722, 10926, 28514, 14750, 9476, 28404, 30440, 10928, 10212, 14314, 16384, 7866, 19738, 36550, 19858, 62028, 12758, 13844, 11622, 55532, 27706}"
0.04,"{11944, 9514, 20554, 3100, 8330, 11258, 13400, 12264, 20536, 3256, 12404, 7526, 17126, 3650, 6984, 21984, 3696, 11522, 17340, 10060, 5370, 18086, 6998, 6056, 9786, 12988, 4220, 6790, 6096, 10828, 13486, 5948, 4790, 8376, 13384, 7480, 8894, 13552, 15726, 7588, 6700, 12568, 6642, 19208, 3816, 3670, 10982, 5274, 7218, 7160, 13356, 1434, 7636, 36534, 16126, 9990, 20040, 15302, 25900, 5336, 8134, 3662, 7756, 11798, 6334, 6828, 19086, 16164, 24760, 9926, 9622, 29532, 4580, 7268, 13276, 11138, 8674, 7680, 3294, 9742, 8140, 12688, 6748, 26254, 20304, 6430, 8526, 10654, 10038, 18798, 13888, 7930, 11530, 17674, 20148, 7116, 15348, 4500, 15058, 9964, 21004, 11484, 11010, 10030, 6888, 7376, 16428, 5832, 6426, 19852, 11972, 4044, 16658, 9246, 8466, 9166, 6858, 3290, 12230, 12502, 6212, 10518, 4392, 13070, 12678, 6868, 6756, 7188, 3324, 8112, 5834, 2956, 7512, 6642, 5194, 24364, 7160, 5442, 14678, 6920, 7930, 13052, 23828, 22276, 12234, 9998, 3990, 33708, 4272, 17152, 3948, 9912, 12224, 13516, 3574, 11652, 7614, 3300, 6774, 27378, 10508, 8202, 16432, 21490, 18078, 13136, 6342, 12598, 3596, 5996, 7472, 11712, 26318, 9976, 17178, 11434, 19178, 17068, 6374, 11632, 4216, 19026, 8966, 16794, 13800, 23010, 9228, 6222, 19286, 7614, 8828, 14952, 5710, 13570, 7142, 6188, 6110, 21556, 10606, 12490, 12496, 15062, 24288, 10828, 5858, 9478, 7384, 30830, 12480, 7738, 28012, 8036, 5876, 6744, 13196, 12706, 10580, 7524, 14886, 8520, 12476, 5966, 6772, 9204, 10960, 5162, 10156, 10492, 19838, 16560, 11780, 8968, 2718, 3070, 5748, 6480, 7236, 2500, 11094, 4938, 7504, 4080, 14316, 19290, 4328, 15722, 17182, 10872, 15920, 13178, 9768, 5540, 8702, 7872, 7642, 12586, 5312, 8126, 7628, 8006, 6238, 3102, 3368, 15960, 22164, 6884, 8312, 12108, 11018, 2784, 9548, 8962, 17462, 6088, 17920, 4536, 7266, 3594, 7206, 14374, 3460, 2718, 4188, 16992, 5692}"
0.05,"{2870, 3142, 13458, 3562, 3390, 6048, 12260, 7784, 6304, 3398, 6524, 6982, 3566, 9726, 4734, 3004, 8228, 4300, 3244, 3156, 6680, 5148, 2536, 7668, 4316, 6184, 3780, 3308, 2614, 3506, 2792, 2844, 5074, 3374, 14790, 12736, 7492, 10596, 5964, 2574, 3328, 10258, 3852, 7280, 4130, 6284, 7078, 4058, 14124, 14926, 6774, 9640, 10106, 6144, 13976, 3322, 5188, 6404, 7430, 4804, 7852, 2590, 8032, 7836, 5416, 2936, 4228, 6534, 7136, 2762, 8990, 3888, 9600, 3970, 6868, 13790, 5024, 2664, 5706, 7638, 2628, 12256, 4060, 12106, 3220, 3506, 11856, 5748, 3748, 9404, 3638, 8778, 10570, 4400, 4494, 2828, 3238, 8670, 5746, 4314, 5558, 7384, 3496, 5192, 8072, 2868, 6542, 3474, 14694, 4258, 2376, 7468, 9906, 3196, 8266, 8946, 11008, 15586, 3450, 9536, 3376, 4636, 8212, 6724, 4454, 5732, 3152, 5918, 16748, 5674, 3576, 9770, 13954, 5902, 9532, 2862, 12826, 14598, 8200, 5764, 5792, 8982, 4132, 4404, 2932, 3058, 8094, 4744, 3044, 7262, 7954, 11054, 9442, 2816, 5500, 5446, 8354, 4472, 14358, 3282, 7296, 4450, 6880, 5668, 6986, 9566, 8850, 3540, 6808, 3552, 5442, 2538, 3756, 14770, 8240, 7150, 2752, 3620, 7116, 3396, 8614, 10634, 8378, 3286, 6278, 2490, 3572, 2990, 4320, 11888, 12436, 3372, 4540, 10270, 2208, 2354, 5552, 5002, 10774, 5948, 15208, 2984, 3232, 7000, 17414, 8952, 4276, 2902, 3760, 7760, 9492, 2776, 6448, 10262, 3958, 4604, 2814, 8794, 14732, 6906, 9054, 4596, 8272, 6758, 6354, 3324, 12816, 7970, 5040, 6954, 3926, 8892, 16412, 5314, 6134, 3830, 2764, 8072, 6992, 4776, 5752, 6746, 5688, 2934, 6450, 5186, 2838, 6554, 15986, 4538, 8452, 16170, 3326, 6260, 3860, 5178, 3768, 4088, 11800, 9082, 4954, 4650, 4816, 8388, 6504, 13578, 10054, 6582, 5754, 3342, 19828, 3058, 8316, 9292, 3584, 7666, 3060, 4228, 7596, 11858, 5544, 2574, 5756, 13860, 5760, 8422, 9908, 6328, 5382, 3500, 6440, 11772, 3250, 4188, 2668, 2478, 6682, 8116, 5580, 2556}"
0.01,"{144472, 64808, 290334, 322254, 247566, 118822, 247004, 165224, 369450, 81476, 135032, 34282, 304378, 31796, 76324, 123474, 292766, 359196, 89252, 333284, 193626, 121568, 178770, 92312, 62748, 93334, 74972, 84994}"
